,0,1
12652,"""(???).",1
12653,....é,1
12654,安定の博多ラーメン。,1
12655,日本で食べるのと全く遜色なし！,1
12656,ランチコンボはラーメンとミニ丼で１３ドルとお得で満腹になります。,1
12657,また、替え玉もプラス,1
12658,ドルでいけるので心ゆくまで食せます。,1
12659,!**************,1
12660,+++++++++++++++++++++++++++++++++++++++++++++++++++,1
12661,..:))..,1
12662,=|~~~~,1
12663,"茶餐廳,",1
12664,?!!?!!!!,1
12665,!!!!?!?!!,1
12666,%^$(,1
12667,"""?]",1
12668,!?!?!!?!?,1
12669,%..),1
12670,嚟過好多次，餐廳係喺一個唔起眼嘅角落。佢哋嘅師傅一向都很親切，待應的也,1
12671,好好。佢哋嘅價錢、質素、分量、同菜色嘅,1
12672,係一個均衡的對比。,1
12673,嘅選擇種類多，價錢合理，並且分份量足。佢哋做嘅,1
12674,比起一啲上等的日本餐廳用料足做得更精細，更有心思.....符合我物超所值嘅原則。,1
12675,!!!!!!!;,1
12676,.??????.,1
12677,ř,1
12678,!...;,1
12679,/`,1
12680,"潮州,",1
12681,得知系,1
12682,开左分店，终于唔使特登山长水远去,1
12683,吃了。店铺招牌不算明显，好容易开车错过左。餐厅同总店一样，一贯简单又突出墙上插画。中午人不多，出品保持水准。汉堡就算唔架,1
12684,都好大好高，吃唔晒！几中意,1
12685,的辣酱，惹味又令成个汉堡味道更出众,1
12686,)!!!!!!!!!!!!!!,1
12687,~^^!,1
12688,"'?"",",1
12689,"!!!!!"""".",1
12690,Ã¨,1
12691,?!?!!?!!!??!!!!!,1
12692,"....!!!!""",1
12693,???)....,1
12694,"""+++",1
12695,"(???????),",1
12696,.+***,1
12697,蒜香排骨和蟹黄豆腐都不错！水煮肉片超级好！强烈推荐！每一次来蒙特利尔都会来的店！服务也很好！很不错！很值得一来！,1
12698,:!!!!,1
12699,"ò.""",1
12700,???!!!],1
12701,!!!?!!!??,1
12702,?????.....,1
12703,+'.,1
12704,#@$%!,1
12705,"!!!!!!!!!!!!###########:#&&×_$**!&""&#&#**!_!.&!_!_#&#&_!&&#&#&!_#_'*÷**÷€#&'&'_÷*#*""&&",1
12706,(-.-).,1
12707,いただきます！！,1
12708,"*$!&,",1
12709,!&$,1
12710,"$#&!,",1
12711,$くらいだったかと。,1
12712,金鳳,1
12713,(&^*$*!!),1
12714,菜的出品很好，不油也不咸，口味不错，服务也很好。,1
12715,?!...),1
12716,!!!$,1
12717,"'"";",1
12718,#);,1
12719,(´`)美味しい/,1
12720,.......................),1
12721,"""黄鹤楼""",1
12722,@#$$,1
12723,"___________.""",1
12724,",...!",1
12725,~!)-,1
12726,~~~~~~`,1
12727,À).,1
12728,"!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!.......................................,..............",1
12729,!!!!!!!!!!!!!!!!!!!!!!!!!!(,1
12730,$#%#*,1
12731,(^^,1
12732,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
12733,なんとか見つけた日本食屋でしたが本当に美味しかったです。これをラスベガスのホテルで食べたら倍の価格でも食べれたか分かりません。マジでおすすめの場所です。,1
12734,((;,1
12735,;-)........,1
12736,___!!!,1
12737,_---_,1
12738,真没这样坑人的.,1
12739,湖南,1
12740,但是没有几道菜是辣的点的菜价钱很足但是分量很少啊！,1
12741,道菜都根本不够。全是几片肉下面都是蔬菜。不过..来吃素是不错的选择！很米其林的餐厅,1
12742,"因为都很""精致""",1
12743,一份水煮鱼,1
12744,刀却没有,1
12745,片鱼。,1
12746,刀一份的鸭子只有一只鸭腿其他全是面粉。,1
12747,留学生,1
12748,_@).,1
12749,量小得惊人，一份红油抄手,1
12750,只要十几块。,1
12751,奶茶的味道都没有达到标准。,1
12752,价格又太贵了，如果价格贵量大，而且东西好吃也就算了,1
12753,问题是这些东西只能骗骗旅客。,1
12754,&(*&,1
12755,.)---,1
12756,!)----,1
12757,%$#.,1
12758,)!!!?,1
12759,最愛的漢堡，價格很公道，漢堡也是真的好吃，個人最喜歡,1
12760,的墨西哥辣椒口味，但每年來也會有新菜色，這次吃的是龍蝦和蝦子口味的漢堡，能把海鮮做到有平衡口感很不容易。,1
12761,加拿大一个连锁比较大规模的百货店，位于,1
12762,隔离有间分店，除了食品外，家品、装修用品、园艺、车用品、玩具、户外用品等等都有，卖场好大，且每周都有不同特价品。自家还有信用卡中心，可以话是生活在加拿大必不可少的百货店之一，这间分店还有自家品牌油站，不是每间分店都有的,1
12763,..........................*,1
12764,?!!!)...,1
12765,"ââââ!!!""",1
12766,还有就是老板非常,1
12767,???!????,1
12768,龍井蝦仁($,1
12769,東坡肉($,1
12770,火燑老鴨煲,1
12771,!************,1
12772,"...??),",1
12773,"*?"".",1
12774,"..,(",1
12775,.)).,1
12776,.'..,1
12777,我哋啱啱上年嘅,1
12778,月份先嚟過，因為最近父母到來多倫多探我，所以我又帶佢哋嚟依間傳說中大件夾抵食嘅餐廳嚟食嘢。有可能因為我哋嚟嘅時候仲係屬於午飯時間（,1
12779,點幾,1
12780,點）所以成間餐廳都爆晒。咁樣都算啦，我最睇唔過眼嘅就係我哋行緊入去坐低嘅時候個侍應勁大力推咗我阿爸一下囉！？而家究竟係咩事先，行入間餐廳乜都無做過都要比人推係咩事。另外我哋點咗嘅嘢食全部都冇味！咖喱冇咖喱味，番茄牛肉都無味！！！究竟係咩情況呀大佬，我直情覺得佢啲白飯仲好食過佢啲餸囉救命，以後應該唔會再返嚟。,1
12781,汁香又滋味，包括蝦，龍蝦仔和腸仔,1
12782,最愛玉米,1
12783,#相機食#,1
12784,&!#,1
12785,附近的,1
12786,",隔离是",1
12787,的油站。呢间星巴克不算大，但有室外座位，如果坐室外对住,1
12788,和车来车往的,1
12789,.好多客人都系在附近逛完或附近公寓的住客。虽然店唔大，但惠顾的人不少。洗手间系同隔离的士多店痴住甘,1
12790,..??.!,1
12791,*#&$,1
12792,?'!!!!,1
12793,夠鍋氣！,1
12794,"""!)???",1
12795,í?!?,1
12796,:)~~~~~~~-~~~,1
12797,':).....,1
12798,â¦..,1
12799,我係,1
12800,號去依間,1
12801,嘅～原本我入去係想買,1
12802,，但點知入到去佢同我講話已經賣晒？！,1
12803,先到月中渣喎，咁快就賣晒？！咁我就點咗凍嘅,1
12804,。咁我就覺得幾好飲，同埋比我上次試嘅,1
12805,糖熱,1
12806,好好多哈哈。整體來講我覺得唔錯其實個個,1
12807,唔係話成個月都有得飲架咩？！,1
12808,早餐只供應到,1
12809,，可惜沒吃到，但他的,1
12810,還是很精彩;,1
12811,我覺得稍鹹，還是,1
12812,);是人氣店，到,1
12813,必來嚐嚐。,1
12814,(雞蛋仔）,1
12815,...$$$?!,1
12816,??????!?,1
12817,环境好、饮料好喝、服务员人美心善、红豆奶茶百香果绿茶茉香奶绿柠檬红茶、还有好喝的奶盖..............................，............,1
12818,::...,1
12819,‍!!!,1
12820,((????)),1
12821,"@€&""",1
12822,___),1
12823,(叉烧炒饭),1
12824,^#@,1
12825,逢圣诞前呢度例牌有圣诞市集，朋友话如果周末去要收费，当日唔选周末去啦。所谓的市集都系酒厂区里面的店铺集中在大街上摆档而已甘。卖食野多过圣诞小物。而酒厂外的圣诞布置是一大卖点之一，好多人离影相打卡，白天和晚上各有美景,1
12826,$&%#.,1
12827,€).,1
12828,.:)::::::::::::------///------------////-----.,1
12829,看到名廚掛名的烘培坊，自然會讓人有相當高的期待，實際上的表現只能說是普普通通。,1
12830,餐點的價格以賭城的物價來說還算可以，點用香蕉、辣椒培根起司蛋、火腿起司口味。交給顧客前有稍微用烤箱烘烤一下，裏層還是冷冷的，雖然味道還是滿突出的，但吃到後來有點膩口，盒子底部也是一層油。,1
12831,咖啡應該是這裏最值得點用的，香味濃郁、酸味宜人。,1
12832,如果是剛好住在旅館裡頭的話，還是可以來快速吃個早點，但如果要特地趕來的話就不用了，並沒有任何能與名廚聯想的驚艷風味。,1
12833,",??,",1
12834,日出茶太分店偏布大多，万锦市不少唐人爱去的,1
12835,都差不多会见到，呢间位于,1
12836,都几大间，店内楼底高，以紫色白色为主要色调，特色的空间设计几唔错，夏天的话还有户外座位,1
12837,.饮品价钱方面都系,1
12838,元左右，味道,1
12839,++++++++++++++++++++++++++++++++++++++++++++++++++++,1
12840,'';,1
12841,&*^,1
12842,.....................................),1
12843,*************************************************************************************************,1
12844,オーナーも日本人ではないし、ウェブサイトも日本語ではないのですが、日本人スタイリストさんが働いていて、たまたま見つけて初めて行ってから、お気に入りのサロンです。技術も提案も素晴らしかった,1
12845,さんという方に切ってもらっていましたが、近々退社されるみたいで残念ですが、また新たに素敵な日本人のスタイリストさんが雇われるのを期待しています。土曜の朝からアップをしてくれるサロンを探していた時も、開店前の時間でも快く調整してくれたのは、このエリアではここだけでした。,1
12846,この界隈で日本人のスタイリストを探している方はきっと気に入ると思います。,1
12847,"""*****,",1
12848,^(,1
12849,謝謝小沙田的服务非常週到,1
12850,¢?!,1
12851,!!!!!!@@@@@@@@@@@,1
12852,菜做得非常非常道地，感覺就像到了泰國。口味鹹淡適中，品質感覺很好，材料用的新鮮，有一些特色料理是平常餐廳沒有的，價錢適中，值得推薦。,1
12853,-_-;;.,1
12854,网上搜索呢间面包店。店铺环境不算特别靓，看得出有点年份了。店内不少人帮衬堂食，和外卖糕点类。收银两边的柜台摆住不同品种的面包、沙律、蛋糕等。,1
12855,沾满蜜蜜的,1
12856,吸引住我。买左袋细的，共,1
12857,个。回家烘热吃，,1
12858,软熟，,1
12859,脆卜卜，而且好大个，吃一个都饱到顶一个午餐了,1
12860,"!?!!?!!""",1
12861,?......$,1
12862,曾经经过觉得呢间拉面店的店名几特别----昇龙店，唔知点解霖起圣斗士的紫龙，哈哈！午市,1
12863,点先开，,1
12864,去到想早,1
12865,吃,1
12866,结果摸门钉。店内不大，环境走怀旧风格，还摆放超旧的日本漫画杂志。试左个豚骨汤拉面，汤面头油稍微厚左,1
12867,，面口感唔错。数片薄到透明的猪腩肉竟然唔觉得好肥腻，汤底尚算浓郁。店内只收,1
12868,奶油豬,1
12869,奶油豬??,1
12870,$$$&@*,1
12871,"',&",1
12872,店員さんはとても感じがよく、ご飯もとても美味しかったです。大人数も対応していて友達とみんなできても楽しく過ごすことが出来ました。また食後に小さいシャーベットが無料で出て嬉しいサービスでした。お店に来るたびに少しずつ雰囲気が変わっていてその変化を見るのも楽しみの,1
12873,つです^_^,1
12874,"&%),",1
12875,!!!!!**,1
12876,!!@$?&%^%!!!!!,1
12877,!!!#@?&^$^!!!!!.,1
12878,$^%$#^&?!!!!!,1
12879,!!&??#*$!!!,1
12880,#%#*?@&!!!,1
12881,&#@!@!!!?,1
12882,..:-|,1
12883,**************************************************************************************************************,1
12884,?!.........,1
12885,是,1
12886,小时店，附近来讲都算大间，在,1
12887,西北面，邻近大型超市。不过车位就唔太多，早上比较难找车位。彩妆护肤、药房、邮局、食品、照片冲印都有齐。因为呢度人流大，所以食品销得快，不易会买到过期野。,1
12888,今回バレンタインで最上階の部屋に泊まった‼とってもステキな部屋です。オープンキッチンやお風呂、そして最高の夜景、時間を止めてほしの(^^),1
12889,门口看厨子是华人，晚上,1
12890,点高朋满座，看菜单比较丰富，价格也平，以为会不错。结果要了招牌捞面，上来牛杂都是腥臭的，没有菜，无法下咽。本来要点例汤，服务员好意提醒有送汤，汤上来简直是,1
12891,了狗了，像方便面料包冲的。想想同胞经营不易，大统华之类都买不到多少正宗原料，北美要吃到正宗中餐还是挺难的。还有，,1
12892,圆以下不能刷卡。,1
12893,":'(),",1
12894,ホテルの近くて発見しましたか、深夜まで営業していますか、便利です。店員も優しいですか、日本語通じないけど、優しかった。串揚げが美味しかった。しかも日本人サイズ^_^,1
12895,(烧腊),1
12896,%&!(@#$.,1
12897,.^^^^^^^^,1
12898,!@#%,1
12899,??????......,1
12900,?!!;)~,1
12901,*(&,1
12902,(和風),1
12903,/​.,1
12904,*$!!!,1
12905,很正宗的川菜广东菜也有！喜欢！又不是很贵！在这附近要找正宗又不太贵的中餐很难！老板有隐藏菜单在收银台旁边！人很,1
12906,！还会再来！,1
12907,(!?!?!).,1
12908,#*$%?!,1
12909,*^^*,1
12910,日本語通じて料理も美味しかった。,1
12911,料金もリーズナブルでまた行きたいです。,1
12912,バッテラ寿しがなかったのが残念です！,1
12913,超级好吃！绝对比得上国内而且在米国吃羊肉更放心！,1
12914,)-.,1
12915,母校です～,1
12916,元々はテキサスのクソ田舎の超クリスチャン大学からここへ転校してきました。あまりにも超巨大なキャンパス、自由奔放さ、勉強のしやすさに驚き、そして最高でした。毎日スケボーで通学し、夜中は学内をスケボーで走り回り、よくポリ公に追い回されてました。ぶっちゃけ治安はあまりよくなく、学内での事件＆事故＆レイプもよく起こってましたし、人種差別も経験したし、アジア人を標的にした犯罪も多発してました。ま、自由とはそういうものですヨ。,1
12917,ある日キャンパスで宿題していると「お前のノート見せろよ」と、ねーちゃんが。「なんで見せなあかんねん？」と言うと、「昨夜あたしをじっくり見てたろ？」だって。...昨夜？ストリップバーに行ってステージに齧りついてたけど...って、ああ！！昨夜は大変お世話になりましたｗ,1
12918,いやん,1
12919,懐かしい思い出がいっぱい、アリゾナに行くときは必ず訪れたい母校です。,1
12920,!!..#,1
12921,($);,1
12922,.:)...,1
12923,豚肉が柔らかくとっても美味しかったです,1
12924,もう少しスープにコクがあると完璧です,1
12925,'-',1
12926,オムライス,1
12927,"!""]",1
12928,&^%!,1
12929,;////,1
12930,---??,1
12931,!*&,1
12932,@$&.,1
12933,挺好吃的墨西哥餐。喝的选择挺多的。,1
12934,.....$$$$$......,1
12935,!!!!!!!$.,1
12936,慕名而来的自助餐～～～,1
12937,拉斯维加斯的酒店都太大了，找餐厅也找半天。,1
12938,来的时候刚过,1
12939,，买的是,1
12940,档位。,1
12941,环境：确实不错，但也没网上其他人说的那么夸张。,1
12942,服务：很好，不断主动撤掉吃过的盘子。,1
12943,菜品：肉食和甜点占主要部分，还有一些中式餐食，都不错的。甜虾吃了个爽～～～新鲜冰冰凉,1
12944,整体评价：拉斯维加斯值得一尝的自助餐～～～还有对于之前网上说的吃的早午餐或者午餐吃到晚餐时段能赶上晚餐，最新确认应该是不可以了，吃饭时间两小时，到晚餐时段会对前时段人清场。,1
12945,"%&,",1
12946,干锅排骨.,1
12947,"!""**",1
12948,"_________,",1
12949,"]?""...",1
12950,(á,1
12951,今日は兄夫婦からの誘いがありここに来ました。アメリカに来て鉄板焼きを嗜むのは初めての経験です。ゴールデンナゲットの正面玄関の正面にこのお店はあります。家族,1
12952,人(子供,1
12953,人)でコースを注文。とても充実したひと時を過ごしました。私はこのお店のレビューのスターの数を見て、あまり期待はしていませんでしたが、とんでもない^_^間違いなく価格、サービス、店構え、品質共に,1
12954,スターです。皆さんも立ち寄ってみてはいかがですか。私はこのお店を推薦します。,1
12955,"@&$"".",1
12956,???!!!!!!!!,1
12957,"香腸鲁肉飯,",1
12958,"紅燒牛肉面,",1
12959,"鹽酥雞,",1
12960,"炸地瓜條,",1
12961,醬牛肉燒餅...,1
12962,香腸鲁肉飯,1
12963,鹽酥雞!,1
12964,"........,,",1
12965,以前都无点入去行，系有人话想买,1
12966,米入去逛下咯。原来都几大窝，门口作为中线划分，左边系男装，右边系女装，后边系童装。减价货品区唔算大，但就好多衫好密，要慢慢看的话花,1
12967,时间，而且衫的位置挂得少少高，矮个子就有点唔方便。手袋类就放得有点分散，好多都有折,1
12968,+)?!,1
12969,+++!!!----,1
12970,....;..,1
12971,行,1
12972,除了选星爸爸饮品外，,1
12973,的饮品都几唔错。位于,1
12974,的分店都几大下，有卡座有普通座位，或者又可以坐商场过道的座位。平时少机会饮开心果拿铁，距既出品唔错，,1
12975,上面洒满开心果碎和果酱，饮到尾可以吃到果仁碎，口感丰富，拿铁香滑，唔错唔错,1
12976,?)????,1
12977,(美而廉),1
12978,(凍奶茶),1
12979,(鷄蛋仔),1
12980,(菠蘿油).,1
12981,沙牛公,1
12982,"""?!...",1
12983,#$%$,1
12984,"?!!!!"",",1
12985,!!]).,1
12986,:-*),1
12987,:+\,1
12988,因为平时坐,1
12989,经过，所以有留意到系,1
12990,附近有间园艺店。周末同亲戚去，就快夏天看下有咩特别又靓的植物先。个门口好细，停车位唔算大。大棚内的花草比户外的多。有些无标价钱，不少比较大型,1
12991,的植物被订了。总体觉得唔算多特别野，价钱稍微贵,1
12992,#*%$#@&((*+@(!,1
12993,$$$$$$!!,1
12994,...=).,1
12995,................................................................................................,1
12996,#@$&),1
12997,..?(,1
12998,-_-#）:,1
12999,*%##,1
13000,???????!!!!!!!,1
13001,.......+,1
13002,-.-'.,1
13003,"​,​",1
13004,"​,​;",1
13005,(!!!).**,1
13006,'..............,1
13007,çé!,1
13008,今天晚上打算開夜車的,1
13009,想我跟她一起去買飲料來到過漫長的晚上。到達之後她就突然問我想喝點什麼他請我,1
13010,所以我就點了我平常都喝的仙草烤奶茶無糖無冰。其實我一般都很喜歡,1
13011,的仙草，但不知道今天的仙草怎麼了，軟軟的一點咬口都沒有,1
13012,+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,1
13013,!!???!!!????,1
13014,_!),1
13015,非常好吃的！,1
13016,不错的吃辣的地方！,1
13017,难得有像中国味的烤串!,1
13018,!';,1
13019,...$$$),1
13020,!?!?!?!?!?!?!,1
13021,?!??!?!?!?!?,1
13022,#*%^,1
13023,...???..,1
13024,"#$@%*!""",1
13025,?$!?,1
13026,$;&:,1
13027,~!?,1
13028,%£,1
13029,"!"".........",1
13030,!?!?!?...,1
13031,"​​,",1
13032,超级烂的餐厅，东西烧的乱七八糟，实际价格跟单子上的完全不一样，小费和,1
13033,计算还是手写的，仔细看还是算税后的小费，真是奇葩了。奶茶跟水一样税前还要卖,1
13034,（标价,1
13035,）老板狡辩说加了珍珠，明明奶茶的图片里已经有珍珠了，坑啊！再说坐下来连水都不给我还要收我,1
13036,%小费呵呵！千万别来这家店，绝对是坑人钱的！负分不能再多！！！,1
13037,$&*#.,1
13038,卓越窗帘的服务很好，价格比别家优惠而且确实是实木的百叶窗，安装后很大气，很适合我的房间。而且他们工期很短，别家都要一个月的时间，他们比别家少了一半的时间，才半个月不到就安装好了，我推荐给大家,1
13039,我喜歡這家咖啡店的裝飾，感覺非常休閑，咖啡喝起來很順口的香濃，單價雖然比較貴，但跟,1
13040,比較起來好像也差不多！值得來嘗試看看！,1
13041,"!??!?!""",1
13042,******)!!,1
13043,....~~,1
13044,?')..,1
13045,.‍‍‍,1
13046,服务态度,1
13047,超！级！差！,1
13048,在门口等半天没人来,1
13049,好不容易安排了一个桌子,1
13050,之前一桌的垃圾半天没人来收,1
13051,好不容易来了个服务员,1
13052,还嫌我们坐着她不方便收东西,1
13053,"直接说""走开！""",1
13054,再说吃的,1
13055,点了个海鲜粥,1
13056,里面的海鲜就是淀粉蟹棒,1
13057,冷冻的一点点海鲜,1
13058,一盆粥贝肉就两块,1
13059,不是一般的坑,1
13060,上菜也是,1
13061,甩下就走,1
13062,招呼服务员就好像看不见你一样,1
13063,没给勺子,1
13064,想要还要自己走过去前台拿,1
13065,我们还在唏嘘为什么上一桌给小费特别少,1
13066,吃完才知道,1
13067,都是有原因的,1
13068,最近因為天氣轉冷，下課後我走過著星巴克突然想進去喝杯飲料，所以就點了一杯,1
13069,的綠茶拿鐵。拿上手熱熱的，非常適合暖一暖身體。其實這還是我第一次喝星巴克的綠茶拿鐵，我覺得比我平常喝的會甜了一點，但是冬天嘛～喝一些甜的也無妨喔～,1
13070,朋友说是他吃过最好吃的烤肉店里气氛不错，有时候会碰到服务很好的服务生，很适合情侣约会或者家人聚餐，不过有的时候经常会在饭点排很久才能吃到。如果服务质量一直保持高水准就完美了......,1
13071,℃),1
13072,#*****,1
13073,"""(.",1
13074,ê*****,1
13075,"=,(",1
13076,ç.,1
13077,"}?,",1
13078,...!!!)!,1
13079,辣炒辣,1
13080,ｌｏｖｅｌｙ,1
13081,​`,1
13082,])).,1
13083,-_______________-,1
13084,"""________"",",1
13085,!#@%,1
13086,"-**,",1
13087,:__,1
13088,!!!!!!!!'''''''',1
13089,"""'''!",1
13090,(牛腩河).,1
13091,@*?,1
13092,"@%&!!!,""",1
13093,"ë),",1
13094,à'-,1
13095,!!!!].,1
13096,艇仔粥,1
13097,炸两,1
13098,"&*#$%!!!!""",1
13099,"'?!),",1
13100,+).....,1
13101,"!!!)!,",1
13102,???‍,1
13103,羊肉湯,1
13104,羊肉煲,1
13105,'煲',1
13106,炒涼粉,1
13107,///:.,1
13108,$%&#,1
13109,お肉が新鮮でおいしかった。,1
13110,シーフードスンドゥブは、トロントの中でも味がいいと思います。,1
13111,÷!,1
13112,Ì.,1
13113,地三鮮,1
13114,{{{{{{{{{{{{{{{{{{,1
13115,}}}}}}}}}}}}}}}}}}}},1
13116,.?.?.?.,1
13117,~!],1
13118,...``,1
13119,!!!;-),1
13120,（刈包）,1
13121,!?!?!?)!,1
13122,!?$,1
13123,来美国五天吃炸鸡汉堡没问题，第六天开始中国胃会先投降。找到这家广东人开的饭店时候是欣喜若狂，无论如何心里想到终于能吃到米饭了。服务员很,1
13124,，知道两个人点,1
13125,个菜一份炒饭够了，让我们不够再加。事实上也是足够，菜量比中国大点。,1
13126,她的扬州炒饭，料多量足，超级美味。,1
13127,麻婆豆腐和鱼香肉丝味道也很到位。,1
13128,我把它称为沙漠中的绿洲,1
13129,安抚了我的中国胃。,1
13130,下次有机会来还是会光顾的。,1
13131,!?!(,1
13132,ラスベガス旅行で日本食が恋しくなり、口コミで評判の良かった「ゆうゆ」で昼食。子供が頼んだ海老フライ定食の海老がデカイ！それに揚げ方も上手でした。さすが串焼き専門店。女房は串カツ(ミックスフライ)セットを注文。今までで一番おいしかったそうでまた来たいと。私はもつ鍋。そこそこボリュームもあって味も本格的で美味しかった〜。ランチはオススメです。値段もお手頃で、値段以上のバリューあると思います。また来たいですね。,1
13133,¡¡¡¡¡¡¡,1
13134,?....),1
13135,&*&!,1
13136,好耐无吃,1
13137,",突然想吃。逛完超市就去了隔离间",1
13138,包吃。呢间,1
13139,虽然系超市隔离，但不算特别人多，通产都有位坐。多数人离买都系外带多。如果唔知吃咩好可以看柜位上的菜单，几多卡路里，不同尺寸的包和款式都清楚列晒出离。自选搭配的辅料和酱汁都有,1
13140,种。价钱同一个饭盒差不多啦,1
13141,".,-",1
13142,‼‍,1
13143,你好,1
13144,"""=)",1
13145,"""..?.""",1
13146,"..!!),",1
13147,-----------------------------------------------------------------------------------------------------------------------,1
13148,------------------------------------------------------------------------------------------------------------------------,1
13149,"??!"",",1
13150,çú,1
13151,云南过桥米线,1
13152,云南炒耳快,1
13153,(米线),1
13154,过桥米线,1
13155,(年糕,1
13156,耳快）,1
13157,..........................:))))))))))))),1
13158,.................(,1
13159,™),1
13160,?@$,1
13161,"!""!""",1
13162,............................................................................,1
13163,...=..,1
13164,-_____-.,1
13165,!!***....,1
13166,-=$,1
13167,"é»,",1
13168,",'-",1
13169,.....................................................................,1
13170,..........................................................................................................................................................................................,1
13171,由於是第一次來到多倫多，在朋友極力的推薦下我跟我母親就來到這間餐廳嘗試一下他們的食物。原來這裡的例湯是隨晚餐附送的呢～因為在香港好多時候如果菜單沒有列明的話就不會附送啊～然後當我們看到碟頭飯的份量之後真的嚇了一跳._.,1
13172,"一碟飯的份量超級足夠兩個人吃啊！但是由於我們點了兩個碟頭飯，我們只有把其中一個吃掉然後吧另一個打包走。。。這間餐廳的食物不錯，而且那個湯是老火湯而不是味精湯，所以加入你們思鄉或是突然想喝老火湯的話可以來這間餐廳嘗試一下他們的例湯喔～最後，這個國家的地方名果然沒有錯，真的是加拿""大""。",1
13173,每次经过总有一堆人排队，晚上去问左门口排筹个人几点关门，晚上,1
13174,点。晚上唔晒就排下，比早上排得快，大概半小时就得。排队时就可以看定,1
13175,",落定单系落单纸度。选择唔多算，同某连锁炸鸡店般。店内环境光猛，卡座、大桌等都有。下单后大概等",1
13176,分钟就有得吃啦。炸鸡味道确实唔错，好脆口，肉嫩又唔会无味，会配搭肉汁比你蘸。炸鸡部位都系鸡腿和,1
13177,下腿。辣的炸鸡多了辣粉，个人比较中意原味。呢度食炸鸡唔会提供手套，但可以去柜台拿一次性碟，食得舒服,1
13178,!...$$,1
13179,..(*,1
13180,??!???!??!,1
13181,)!!...,1
13182,'&&,1
13183,-.-;;;;,1
13184,私は味噌ラーメン苦手なのだが,1
13185,ココは美味しい‼,1
13186,ウェイターの,1
13187,お姉さんが,1
13188,メニューから味噌の種類や麺の太さの好みの,1
13189,を分かりやすく説明してくださったので選びやすかった,1
13190,豚骨ラーメン(細麺・ノンスパイシー)と、味噌ラーメン(太麺・名古屋味噌)、餃子をオーダー。,1
13191,味噌ラーメンは好みだし、餃子も美味しかった,1
13192,"@),",1
13193,",!(",1
13194,^___*,1
13195,以前系,1
13196,有几间玩具店，呢间,1
13197,屹立最耐，尽管今时今日的,1
13198,已经今非昔比。进店后就见到不少顾客，大部分都系成年人多，反而小朋友较少。门口一墙高的,1
13199,!公仔几壮观，令你忍不住望多两眼自己熟悉过的卡通人物。无论卡片游戏，或是桌游等等都有！爱游戏的朋友必到此寻宝,1
13200,(??!!!?!),1
13201,$#@.,1
13202,?!?!?!!),1
13203,)!).,1
13204,(?!?!?!?!?).,1
13205,"大盆花菜,",1
13206,"湖南炒三丝,",1
13207,(炒土鸡?).,1
13208,"é,)",1
13209,#$*@!,1
13210,-$`,1
13211,!?!?!?!?!??!,1
13212,"""!?!?!?!",1
13213,",',",1
13214,:))):)),1
13215,!$&@!,1
13216,立地はとても良いです、フラミンゴに宿泊した際に近いので寄りました。,1
13217,店員さんの接客もとくに問題ありません！,1
13218,では,1
13219,有りとなってましたが(,1
13220,は大抵,1
13221,ですが)私達が行った際は入りませんでした。,1
13222,次の用事があり、急いでいたので店員さんに確認はしていません。,1
13223,"""$-",1
13224,@^_^@,1
13225,"."":""",1
13226,""")($",1
13227,*(&?????,1
13228,")""????",1
13229,"""$$""?",1
13230,"---.""",1
13231,いわゆるストリップクラブ。でもほとんど踊っていないので、キャバクラっぽいです。,1
13232,歳前後の女の子ばかり。ラップダンスは交渉次第です。,1
13233,",?""",1
13234,!!!!!.........:,1
13235,豬排飯,1
13236,?*$%@,1
13237,豆苗,1
13238,椒鹽豬扒,1
13239,大陸,1
13240,***!!!??????!!!!!,1
13241,????!?!?!?,1
13242,@(!,1
13243,...š,1
13244,#!.,1
13245,"),,,,,,",1
13246,...-$,1
13247,???},1
13248,.#.,1
13249,_____).,1
13250,"?!?""]",1
13251,~*^^!,1
13252,萝卜牛腩，,1
13253,é?).,1
13254,这次住永利，卡地亚就在下面非常方便，这是一次非常棒非常舒服的购物体验，导购是一个台湾姐姐非常热心，无论是挑戒指，还是咨询其他问题，都非常有耐心地回答我们问题，考虑得非常周到，聊的非常开心，最后还送了不少礼物，太贴心了,1
13255,"""麻"",",1
13256,耐无吃就觉得好好吃。自己去,1
13257,时候看清楚,1
13258,",不同安士不同价钱。选了白包+",1
13259,安士汉堡牛扒。可选配料好多，加了适合夏天口味的芒果酱、番茄、酸青瓜、生菜等等。新鲜烤好汉堡扒放入一起吃，一淡吃落去,1
13260,到满满牛肉汁，加了配菜吾油腻又味道丰富。一个,1
13261,十几元，满足晒个胃了。,1
13262,茶餐廳/菠蘿油,1
13263,平靚正!,1
13264,"絲襪奶茶,",1
13265,丝袜奶茶---,1
13266,午餐肉+煎蛋+,1
13267,"??""...""",1
13268,!!!$.,1
13269,!:],1
13270,&$@??,1
